,customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,num_orders,labels,class
0,0,0,44.66666666666666,14.11,4,13,14.07,73.20333333333333,4.3566666666666665,6.2,2.1766666666666667,0.0,0.0,0.0,3.0,8,fresh_regulars
1,1,3,31.15,17.849,1,12,17.762,52.909000000000006,17.760999999999996,3.2075000000000005,2.3145,4.3519999999999985,1.6949999999999998,0.0,20.0,4,royals
2,2,23,26.0,2.97,6,23,24.1,22.29,38.69,14.92,0.0,0.0,0.0,0.0,1.0,1,grocery_regular
3,3,24,27.782608695652176,4.102173913043479,1,10,23.82565217391305,51.28086956521739,8.220869565217393,14.773478260869567,0.0,0.0,1.898695652173913,0.0,23.0,4,royals
4,4,47,17.103448275862068,4.373103448275862,3,9,24.841379310344823,51.082413793103456,10.291034482758619,13.0351724137931,0.6837931034482758,0.0,0.06551724137931034,0.0,29.0,4,royals
5,5,76,21.0,11.76,2,23,6.84,0.0,24.02,26.87,10.21,0.0,32.06,0.0,1.0,6,home_decorators
6,6,77,40.769230769230774,2.683846153846154,2,12,39.315384615384616,23.766923076923078,19.72153846153846,5.633076923076923,2.1884615384615382,0.0,6.617692307692307,2.7569230769230773,13.0,4,royals
7,7,90,40.0,0.93,1,20,23.7,52.54,13.93,0.0,9.83,0.0,0.0,0.0,1.0,8,fresh_regulars
8,8,91,35.25,23.67,2,23,24.09125,37.56625,22.3925,12.03375,3.9175,0.0,0.0,0.0,8.0,4,royals
9,9,99,17.75,3.004166666666667,2,8,9.296666666666667,64.83999999999999,14.153333333333334,3.2575,2.4391666666666665,5.39,0.625,0.0,12.0,4,royals
10,10,111,24.5,11.435,1,19,7.15,0.0,0.0,38.31,51.45,3.085,0.0,0.0,2.0,6,home_decorators
11,11,113,46.8,17.497999999999998,1,11,31.646000000000004,5.223999999999998,4.274,12.878,5.016,3.6860000000000004,36.898,0.0,5.0,1,grocery_regular
12,12,118,36.22222222222222,1.9611111111111108,7,17,26.698888888888888,3.5933333333333337,19.321111111111108,14.591111111111115,1.2633333333333334,0.14444444444444446,34.38666666666667,0.0,9.0,4,royals
13,13,127,32.0,0.0,1,9,0.0,76.95,0.0,0.0,8.28,0.0,14.77,0.0,1.0,8,fresh_regulars
14,14,128,33.285714285714285,3.36,7,22,40.20142857142857,18.102857142857143,12.04857142857143,14.247142857142856,10.541428571428572,0.0,4.855714285714285,0.0,7.0,1,grocery_regular
15,15,135,25.0,10.98,7,14,0.0,12.29,25.54,51.25,6.73,4.19,0.0,0.0,1.0,6,home_decorators
16,16,136,16.0,14.0,5,13,0.0,51.12,28.3,20.58,0.0,0.0,0.0,0.0,1.0,8,fresh_regulars
17,17,137,53.0,18.1,1,15,11.65,37.46,12.65,0.0,0.0,0.0,38.24,0.0,1.0,8,fresh_regulars
18,18,138,20.6,17.449999999999996,6,12,19.776,45.038000000000004,21.022,10.374,3.792,0.0,0.0,0.0,5.0,8,fresh_regulars
